Continent,Region,Country,Value,Type,Year_
Europe,Other Europe,Isle Of Man,14.0,Imports,2014
Europe,Other Europe,Turkey,127.0,Imports,2014
Europe,Other Europe,Rest Of Europe,201.0,Imports,2014
Europe,Other Europe,Europe Unallocated,1326.0,Imports,2014
America,America,Brazil,149.0,Imports,2014
America,America,Canada,791.0,Imports,2014
America,America,Mexico,40.0,Imports,2014
America,America,USA,12945.0,Imports,2014
America,America,Rest Of America,861.0,Imports,2014
America,America,America Unallocated,76.0,Imports,2014
Asia,Asia,China,521.0,Imports,2014
Asia,Asia,Hong Kong,666.0,Imports,2014
Asia,Asia,India,1519.0,Imports,2014
Asia,Asia,Indonesia,55.0,Imports,2014
Asia,Asia,Israel,241.0,Imports,2014
Asia,Asia,Japan,1410.0,Imports,2014
Asia,Asia,Malaysia,191.0,Imports,2014
Asia,Asia,Pakistan,93.0,Imports,2014
Asia,Asia,Philippines,127.0,Imports,2014
Asia,Asia,Saudi Arabia,71.0,Imports,2014
Asia,Asia,Singapore,1507.0,Imports,2014
Asia,Asia,South Korea,205.0,Imports,2014
Asia,Asia,Taiwan,100.0,Imports,2014
Asia,Asia,Thailand,172.0,Imports,2014
Asia,Asia,Rest Of Asia,946.0,Imports,2014
Asia,Asia,Asia Unallocated,424.0,Imports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,873.0,Imports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,39.0,Imports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Imports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2014
Africa,Africa,Nigeria,75.0,Imports,2014
Africa,Africa,South Africa,325.0,Imports,2014
Africa,Africa,Rest Of Africa,574.0,Imports,2014
Africa,Africa,Africa Unallocated,186.0,Imports,2014
Europe,European Union (EU),Austria,345.0,Imports,2015
Europe,European Union (EU),Belgium,1264.0,Imports,2015
Europe,European Union (EU),Bulgaria,89.0,Imports,2015
Europe,European Union (EU),Croatia,21.0,Imports,2015
Europe,European Union (EU),Cyprus,181.0,Imports,2015
Europe,European Union (EU),Czechia,257.0,Imports,2015
Europe,European Union (EU),Denmark,553.0,Imports,2015
Europe,European Union (EU),Estonia,31.0,Imports,2015
Europe,European Union (EU),Finland,181.0,Imports,2015
Europe,European Union (EU),France,3568.0,Imports,2015
Europe,European Union (EU),Germany,4910.0,Imports,2015
Europe,European Union (EU),Greece,119.0,Imports,2015
Europe,European Union (EU),Hungary,140.0,Imports,2015
Europe,European Union (EU),Ireland,3791.0,Imports,2015
Europe,European Union (EU),Italy,1401.0,Imports,2015
Europe,European Union (EU),Latvia,17.0,Imports,2015
Europe,European Union (EU),Lithuania,31.0,Imports,2015
Europe,European Union (EU),Luxembourg,1905.0,Imports,2015
Europe,European Union (EU),Malta,73.0,Imports,2015
Europe,European Union (EU),Netherlands,2720.0,Imports,2015
Europe,European Union (EU),Poland,619.0,Imports,2015
Europe,European Union (EU),Portugal,244.0,Imports,2015
Europe,European Union (EU),Romania,142.0,Imports,2015
Europe,European Union (EU),Slovakia,85.0,Imports,2015
Europe,European Union (EU),Slovenia,0.0,Imports,2015
Europe,European Union (EU),Spain,1333.0,Imports,2015
Europe,European Union (EU),Sweden,1824.0,Imports,2015
Europe,European Free Trade Association (EFTA),Iceland,16.0,Imports,2015
Europe,European Free Trade Association (EFTA),Liechtenstein,23.0,Imports,2015
Europe,European Free Trade Association (EFTA),Norway,400.0,Imports,2015
