Continent,Region,Country,Value,Type,Year_
Europe,Other Europe,Isle Of Man,435.0,Exports,2014
Europe,Other Europe,Turkey,582.0,Exports,2014
Europe,Other Europe,Rest Of Europe,800.0,Exports,2014
Europe,Other Europe,Europe Unallocated,2188.0,Exports,2014
America,America,Brazil,797.0,Exports,2014
America,America,Canada,1414.0,Exports,2014
America,America,Mexico,261.0,Exports,2014
America,America,USA,27821.0,Exports,2014
America,America,Rest Of America,2806.0,Exports,2014
America,America,America Unallocated,425.0,Exports,2014
Asia,Asia,China,1058.0,Exports,2014
Asia,Asia,Hong Kong,1006.0,Exports,2014
Asia,Asia,India,975.0,Exports,2014
Asia,Asia,Indonesia,171.0,Exports,2014
Asia,Asia,Israel,351.0,Exports,2014
Asia,Asia,Japan,2456.0,Exports,2014
Asia,Asia,Malaysia,438.0,Exports,2014
Asia,Asia,Pakistan,181.0,Exports,2014
Asia,Asia,Philippines,90.0,Exports,2014
Asia,Asia,Saudi Arabia,4289.0,Exports,2014
Asia,Asia,Singapore,2077.0,Exports,2014
Asia,Asia,South Korea,800.0,Exports,2014
Asia,Asia,Taiwan,317.0,Exports,2014
Asia,Asia,Thailand,286.0,Exports,2014
Asia,Asia,Rest Of Asia,4494.0,Exports,2014
Asia,Asia,Asia Unallocated,714.0,Exports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1863.0,Exports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,220.0,Exports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Exports,2014
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Exports,2014
Africa,Africa,Nigeria,493.0,Exports,2014
Africa,Africa,South Africa,1167.0,Exports,2014
Africa,Africa,Rest Of Africa,3160.0,Exports,2014
Africa,Africa,Africa Unallocated,261.0,Exports,2014
Europe,European Union (EU),Austria,388.0,Exports,2015
Europe,European Union (EU),Belgium,2078.0,Exports,2015
Europe,European Union (EU),Bulgaria,159.0,Exports,2015
Europe,European Union (EU),Croatia,53.0,Exports,2015
Europe,European Union (EU),Cyprus,287.0,Exports,2015
Europe,European Union (EU),Czechia,351.0,Exports,2015
Europe,European Union (EU),Denmark,1427.0,Exports,2015
Europe,European Union (EU),Estonia,30.0,Exports,2015
Europe,European Union (EU),Finland,604.0,Exports,2015
Europe,European Union (EU),France,5346.0,Exports,2015
Europe,European Union (EU),Germany,7276.0,Exports,2015
Europe,European Union (EU),Greece,342.0,Exports,2015
Europe,European Union (EU),Hungary,260.0,Exports,2015
Europe,European Union (EU),Ireland,7188.0,Exports,2015
Europe,European Union (EU),Italy,3035.0,Exports,2015
Europe,European Union (EU),Latvia,45.0,Exports,2015
Europe,European Union (EU),Lithuania,47.0,Exports,2015
Europe,European Union (EU),Luxembourg,2189.0,Exports,2015
Europe,European Union (EU),Malta,240.0,Exports,2015
Europe,European Union (EU),Netherlands,6854.0,Exports,2015
Europe,European Union (EU),Poland,805.0,Exports,2015
Europe,European Union (EU),Portugal,409.0,Exports,2015
Europe,European Union (EU),Romania,230.0,Exports,2015
Europe,European Union (EU),Slovakia,127.0,Exports,2015
Europe,European Union (EU),Slovenia,0.0,Exports,2015
Europe,European Union (EU),Spain,2138.0,Exports,2015
Europe,European Union (EU),Sweden,2123.0,Exports,2015
Europe,European Free Trade Association (EFTA),Iceland,118.0,Exports,2015
Europe,European Free Trade Association (EFTA),Liechtenstein,65.0,Exports,2015
Europe,European Free Trade Association (EFTA),Norway,1624.0,Exports,2015
Europe,European Free Trade Association (EFTA),Switzerland,6863.0,Exports,2015
Europe,Other Europe,Russia,1080.0,Exports,2015
Europe,Other Europe,Isle Of Man,197.0,Exports,2015
Europe,Other Europe,Turkey,808.0,Exports,2015
Europe,Other Europe,Rest Of Europe,726.0,Exports,2015
Europe,Other Europe,Europe Unallocated,2126.0,Exports,2015
America,America,Brazil,781.0,Exports,2015
America,America,Canada,1476.0,Exports,2015
America,America,Mexico,383.0,Exports,2015
America,America,USA,27991.0,Exports,2015
America,America,Rest Of America,3094.0,Exports,2015
America,America,America Unallocated,328.0,Exports,2015
Asia,Asia,China,1647.0,Exports,2015
Asia,Asia,Hong Kong,1241.0,Exports,2015
Asia,Asia,India,1189.0,Exports,2015
Asia,Asia,Indonesia,180.0,Exports,2015
Asia,Asia,Israel,452.0,Exports,2015
Asia,Asia,Japan,2370.0,Exports,2015
Asia,Asia,Malaysia,406.0,Exports,2015
Asia,Asia,Pakistan,150.0,Exports,2015
Asia,Asia,Philippines,103.0,Exports,2015
Asia,Asia,Saudi Arabia,4613.0,Exports,2015
Asia,Asia,Singapore,2311.0,Exports,2015
Asia,Asia,South Korea,768.0,Exports,2015
Asia,Asia,Taiwan,298.0,Exports,2015
Asia,Asia,Thailand,317.0,Exports,2015
Asia,Asia,Rest Of Asia,4634.0,Exports,2015
Asia,Asia,Asia Unallocated,771.0,Exports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1787.0,Exports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,175.0,Exports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Exports,2015
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Exports,2015
Africa,Africa,Nigeria,867.0,Exports,2015
Africa,Africa,South Africa,1037.0,Exports,2015
